Compound,Date,Negative,Neutral,Positive,Text,Tweets_Ago,Username
0.0,Wed Jun 06 17:49:26 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""It's a traffic jam [@TheDemocrats] created."" #OutnumberedOT https://t.co/h1UrQ0vBaG",1,@FoxNews
-0.8176,Wed Jun 06 17:45:15 +0000 2018,0.615,0.385,0.0,Woman pleads guilty to making up rape allegations against two college football players https://t.co/tNyBNuwGvI,2,@FoxNews
0.0,Wed Jun 06 17:34:05 +0000 2018,1.0,0.0,0.0,Rainbow spotted in crater of Hawaii's Kilauea volcano https://t.co/PE9rSHJX1s,3,@FoxNews
0.0772,Wed Jun 06 17:31:36 +0000 2018,0.92,0.0,0.08,Moments ago @KimKardashian tweeted out about President @realDonaldTrump commuting the life sentence for Alice Marie… https://t.co/l403p01bMp,4,@FoxNews
0.25,Wed Jun 06 17:29:38 +0000 2018,0.875,0.0,0.125,"Ex-Dem IT aide Imran Awan poised for plea deal, after months of mysterious delays https://t.co/E7biBroQjy",5,@FoxNews
0.0,Wed Jun 06 17:16:20 +0000 2018,1.0,0.0,0.0,".@mattgaetz: ""Andrew McCabe was leaking to the @WSJ about the nature of the @HillaryClinton investigation trying to… https://t.co/WxPr4vYQL8",6,@FoxNews
0.0,Wed Jun 06 17:12:02 +0000 2018,1.0,0.0,0.0,"""They put everything on the line for us, and when they come home, we must do everything that we can possibly do for… https://t.co/gf9YD4VVMI",7,@FoxNews
0.0,Wed Jun 06 17:05:55 +0000 2018,1.0,0.0,0.0,House Democratic leaders hold a news conference https://t.co/c2z9oGBVlg,8,@FoxNews
-0.5859,Wed Jun 06 17:05:00 +0000 2018,0.798,0.202,0.0,"""No one who defends our country in uniform should have to fight for their lives when they come back.""

WATCH:… https://t.co/JL8WsrdLKe",9,@FoxNews
0.0,Wed Jun 06 17:00:01 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""65% of Californians say that the state's too expensive in terms of cost of living."" #Outnumbered https://t.co/oINfMOvVnX",10,@FoxNews
0.0772,Wed Jun 06 16:51:28 +0000 2018,0.915,0.0,0.085,BREAKING NEWS: @POTUS commutes sentence of woman serving drug-related life term after @KimKardashian meeting… https://t.co/xqg80RbprU,11,@FoxNews
0.0,Wed Jun 06 16:49:26 +0000 2018,1.0,0.0,0.0,MOMENTS AGO: President @realDonaldTrump signs V.A. Mission Act of 2018. https://t.co/tQuOhawuzK,12,@FoxNews
0.0772,Wed Jun 06 16:47:22 +0000 2018,0.92,0.0,0.08,Breaking News: @POTUS commutes sentence of woman serving drug-related life term after Kim Kardashian meeting https://t.co/asGF4W6mHH,13,@FoxNews
0.0,Wed Jun 06 16:43:15 +0000 2018,1.0,0.0,0.0,".@POTUS: ""They put everything on the line for us, and when they come home, we must do everything that we can possib… https://t.co/OBw00Gbpc1",14,@FoxNews
0.0,Wed Jun 06 16:40:36 +0000 2018,1.0,0.0,0.0,".@POTUS: ""For 30, 40 years they've been trying to get this done and they haven't been able to and we got it done."" https://t.co/efUH84dlFr",15,@FoxNews
0.3612,Wed Jun 06 16:38:26 +0000 2018,0.872,0.0,0.128,".@POTUS: ""As a candidate for president, I promised to make reforming the VA one of my absolute highest priorities,… https://t.co/ZW2ZXhwyWp",16,@FoxNews
-0.5859,Wed Jun 06 16:36:40 +0000 2018,0.798,0.202,0.0,".@POTUS: ""No one who defends our country in uniform should have to fight for their lives when they come back."" https://t.co/KWz2sCbAe9",17,@FoxNews
0.0,Wed Jun 06 16:32:56 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We got $1.6 billion - we've already started the wall on the Southern border."" https://t.co/Eeo35SgcEN",18,@FoxNews
0.0,Wed Jun 06 16:31:29 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We just got $700 billion for our military."" https://t.co/tmFkcPrTZK",19,@FoxNews
0.743,Wed Jun 06 16:30:21 +0000 2018,0.69,0.0,0.31,".@POTUS to veterans: ""You fulfilled your duty to our nation with tremendous loyalty and courage."" https://t.co/N8REK1s1k0",20,@FoxNews
0.0,Wed Jun 06 17:49:26 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""It's a traffic jam [@TheDemocrats] created."" #OutnumberedOT https://t.co/h1UrQ0vBaG",21,@FoxNews
-0.8176,Wed Jun 06 17:45:15 +0000 2018,0.615,0.385,0.0,Woman pleads guilty to making up rape allegations against two college football players https://t.co/tNyBNuwGvI,22,@FoxNews
0.0,Wed Jun 06 17:34:05 +0000 2018,1.0,0.0,0.0,Rainbow spotted in crater of Hawaii's Kilauea volcano https://t.co/PE9rSHJX1s,23,@FoxNews
0.0772,Wed Jun 06 17:31:36 +0000 2018,0.92,0.0,0.08,Moments ago @KimKardashian tweeted out about President @realDonaldTrump commuting the life sentence for Alice Marie… https://t.co/l403p01bMp,24,@FoxNews
0.25,Wed Jun 06 17:29:38 +0000 2018,0.875,0.0,0.125,"Ex-Dem IT aide Imran Awan poised for plea deal, after months of mysterious delays https://t.co/E7biBroQjy",25,@FoxNews
0.0,Wed Jun 06 17:16:20 +0000 2018,1.0,0.0,0.0,".@mattgaetz: ""Andrew McCabe was leaking to the @WSJ about the nature of the @HillaryClinton investigation trying to… https://t.co/WxPr4vYQL8",26,@FoxNews
0.0,Wed Jun 06 17:12:02 +0000 2018,1.0,0.0,0.0,"""They put everything on the line for us, and when they come home, we must do everything that we can possibly do for… https://t.co/gf9YD4VVMI",27,@FoxNews
0.0,Wed Jun 06 17:05:55 +0000 2018,1.0,0.0,0.0,House Democratic leaders hold a news conference https://t.co/c2z9oGBVlg,28,@FoxNews
-0.5859,Wed Jun 06 17:05:00 +0000 2018,0.798,0.202,0.0,"""No one who defends our country in uniform should have to fight for their lives when they come back.""

WATCH:… https://t.co/JL8WsrdLKe",29,@FoxNews
0.0,Wed Jun 06 17:00:01 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""65% of Californians say that the state's too expensive in terms of cost of living."" #Outnumbered https://t.co/oINfMOvVnX",30,@FoxNews
0.0772,Wed Jun 06 16:51:28 +0000 2018,0.915,0.0,0.085,BREAKING NEWS: @POTUS commutes sentence of woman serving drug-related life term after @KimKardashian meeting… https://t.co/xqg80RbprU,31,@FoxNews
0.0,Wed Jun 06 16:49:26 +0000 2018,1.0,0.0,0.0,MOMENTS AGO: President @realDonaldTrump signs V.A. Mission Act of 2018. https://t.co/tQuOhawuzK,32,@FoxNews
0.0772,Wed Jun 06 16:47:22 +0000 2018,0.92,0.0,0.08,Breaking News: @POTUS commutes sentence of woman serving drug-related life term after Kim Kardashian meeting https://t.co/asGF4W6mHH,33,@FoxNews
0.0,Wed Jun 06 16:43:15 +0000 2018,1.0,0.0,0.0,".@POTUS: ""They put everything on the line for us, and when they come home, we must do everything that we can possib… https://t.co/OBw00Gbpc1",34,@FoxNews
0.0,Wed Jun 06 16:40:36 +0000 2018,1.0,0.0,0.0,".@POTUS: ""For 30, 40 years they've been trying to get this done and they haven't been able to and we got it done."" https://t.co/efUH84dlFr",35,@FoxNews
0.3612,Wed Jun 06 16:38:26 +0000 2018,0.872,0.0,0.128,".@POTUS: ""As a candidate for president, I promised to make reforming the VA one of my absolute highest priorities,… https://t.co/ZW2ZXhwyWp",36,@FoxNews
-0.5859,Wed Jun 06 16:36:40 +0000 2018,0.798,0.202,0.0,".@POTUS: ""No one who defends our country in uniform should have to fight for their lives when they come back."" https://t.co/KWz2sCbAe9",37,@FoxNews
0.0,Wed Jun 06 16:32:56 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We got $1.6 billion - we've already started the wall on the Southern border."" https://t.co/Eeo35SgcEN",38,@FoxNews
0.0,Wed Jun 06 16:31:29 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We just got $700 billion for our military."" https://t.co/tmFkcPrTZK",39,@FoxNews
0.743,Wed Jun 06 16:30:21 +0000 2018,0.69,0.0,0.31,".@POTUS to veterans: ""You fulfilled your duty to our nation with tremendous loyalty and courage."" https://t.co/N8REK1s1k0",40,@FoxNews
0.0,Wed Jun 06 17:49:26 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""It's a traffic jam [@TheDemocrats] created."" #OutnumberedOT https://t.co/h1UrQ0vBaG",41,@FoxNews
-0.8176,Wed Jun 06 17:45:15 +0000 2018,0.615,0.385,0.0,Woman pleads guilty to making up rape allegations against two college football players https://t.co/tNyBNuwGvI,42,@FoxNews
0.0,Wed Jun 06 17:34:05 +0000 2018,1.0,0.0,0.0,Rainbow spotted in crater of Hawaii's Kilauea volcano https://t.co/PE9rSHJX1s,43,@FoxNews
0.0772,Wed Jun 06 17:31:36 +0000 2018,0.92,0.0,0.08,Moments ago @KimKardashian tweeted out about President @realDonaldTrump commuting the life sentence for Alice Marie… https://t.co/l403p01bMp,44,@FoxNews
0.25,Wed Jun 06 17:29:38 +0000 2018,0.875,0.0,0.125,"Ex-Dem IT aide Imran Awan poised for plea deal, after months of mysterious delays https://t.co/E7biBroQjy",45,@FoxNews
0.0,Wed Jun 06 17:16:20 +0000 2018,1.0,0.0,0.0,".@mattgaetz: ""Andrew McCabe was leaking to the @WSJ about the nature of the @HillaryClinton investigation trying to… https://t.co/WxPr4vYQL8",46,@FoxNews
0.0,Wed Jun 06 17:12:02 +0000 2018,1.0,0.0,0.0,"""They put everything on the line for us, and when they come home, we must do everything that we can possibly do for… https://t.co/gf9YD4VVMI",47,@FoxNews
0.0,Wed Jun 06 17:05:55 +0000 2018,1.0,0.0,0.0,House Democratic leaders hold a news conference https://t.co/c2z9oGBVlg,48,@FoxNews
-0.5859,Wed Jun 06 17:05:00 +0000 2018,0.798,0.202,0.0,"""No one who defends our country in uniform should have to fight for their lives when they come back.""

WATCH:… https://t.co/JL8WsrdLKe",49,@FoxNews
0.0,Wed Jun 06 17:00:01 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""65% of Californians say that the state's too expensive in terms of cost of living."" #Outnumbered https://t.co/oINfMOvVnX",50,@FoxNews
0.0772,Wed Jun 06 16:51:28 +0000 2018,0.915,0.0,0.085,BREAKING NEWS: @POTUS commutes sentence of woman serving drug-related life term after @KimKardashian meeting… https://t.co/xqg80RbprU,51,@FoxNews
0.0,Wed Jun 06 16:49:26 +0000 2018,1.0,0.0,0.0,MOMENTS AGO: President @realDonaldTrump signs V.A. Mission Act of 2018. https://t.co/tQuOhawuzK,52,@FoxNews
0.0772,Wed Jun 06 16:47:22 +0000 2018,0.92,0.0,0.08,Breaking News: @POTUS commutes sentence of woman serving drug-related life term after Kim Kardashian meeting https://t.co/asGF4W6mHH,53,@FoxNews
0.0,Wed Jun 06 16:43:15 +0000 2018,1.0,0.0,0.0,".@POTUS: ""They put everything on the line for us, and when they come home, we must do everything that we can possib… https://t.co/OBw00Gbpc1",54,@FoxNews
0.0,Wed Jun 06 16:40:36 +0000 2018,1.0,0.0,0.0,".@POTUS: ""For 30, 40 years they've been trying to get this done and they haven't been able to and we got it done."" https://t.co/efUH84dlFr",55,@FoxNews
0.3612,Wed Jun 06 16:38:26 +0000 2018,0.872,0.0,0.128,".@POTUS: ""As a candidate for president, I promised to make reforming the VA one of my absolute highest priorities,… https://t.co/ZW2ZXhwyWp",56,@FoxNews
-0.5859,Wed Jun 06 16:36:40 +0000 2018,0.798,0.202,0.0,".@POTUS: ""No one who defends our country in uniform should have to fight for their lives when they come back."" https://t.co/KWz2sCbAe9",57,@FoxNews
0.0,Wed Jun 06 16:32:56 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We got $1.6 billion - we've already started the wall on the Southern border."" https://t.co/Eeo35SgcEN",58,@FoxNews
0.0,Wed Jun 06 16:31:29 +0000 2018,1.0,0.0,0.0,".@POTUS: ""We just got $700 billion for our military."" https://t.co/tmFkcPrTZK",59,@FoxNews
0.743,Wed Jun 06 16:30:21 +0000 2018,0.69,0.0,0.31,".@POTUS to veterans: ""You fulfilled your duty to our nation with tremendous loyalty and courage."" https://t.co/N8REK1s1k0",60,@FoxNews
0.0,Wed Jun 06 17:49:26 +0000 2018,1.0,0.0,0.0,".@newtgingrich: ""It's a traffic jam [@TheDemocrats] created."" #OutnumberedOT https://t.co/h1UrQ0vBaG",61,@FoxNews
-0.8176,Wed Jun 06 17:45:15 +0000 2018,0.615,0.385,0.0,Woman pleads guilty to making up rape allegations against two college football players https://t.co/tNyBNuwGvI,62,@FoxNews
0.0,Wed Jun 06 17:34:05 +0000 2018,1.0,0.0,0.0,Rainbow spotted in crater of Hawaii's Kilauea volcano https://t.co/PE9rSHJX1s,63,@FoxNews
0.0772,Wed Jun 06 17:31:36 +0000 2018,0.92,0.0,0.08,Moments ago @KimKardashian tweeted out about President @realDonaldTrump commuting the life sentence for Alice Marie… https://t.co/l403p01bMp,64,@FoxNews
0.25,Wed Jun 06 17:29:38 +0000 2018,0.875,0.0,0.125,"Ex-Dem IT aide Imran Awan poised for plea deal, after months of mysterious delays https://t.co/E7biBroQjy",65,@FoxNews
0.0,Wed Jun 06 17:16:20 +0000 2018,1.0,0.0,0.0,".@mattgaetz: ""Andrew McCabe was leaking to the @WSJ about the nature of the @HillaryClinton investigation trying to… https://t.co/WxPr4vYQL8",66,@FoxNews
0.0,Wed Jun 06 17:12:02 +0000 2018,1.0,0.0,0.0,"""They put everything on the line for us, and when they come home, we must do everything that we can possibly do for… https://t.co/gf9YD4VVMI",67,@FoxNews
